bin,recoverable_count,total_count,recovery_rate,mean_L,std_L,success_rate,se
0.02-0.51,96,209,0.45933014354066987,11.687377879961613,26.632307246505306,0.09569377990430622,0.03447112117553557
0.51-1.01,141,329,0.42857142857142855,12.307916332232443,26.006611360080317,0.09422492401215805,0.027283157746252725
1.01-1.50,557,1113,0.5004492362982929,15.12677561532009,28.460342062178853,0.07187780772686433,0.01498726018399543
1.50-2.00,372,748,0.49732620320855614,13.962201939474667,28.09188966826627,0.07085561497326204,0.018281549201060603
2.00-2.49,69,146,0.4726027397260274,12.783512720156555,30.89676808238222,0.0410958904109589,0.04131812681652663
