metric,pearson,spearman,roc_auc
Entropy (Current),0.0030474610644071194,0.0011595301660167075,0.5077504094940817
Normalized Entropy,0.03649858145110214,0.03230233037643742,0.5205383688228205
Uncertainty Score (exp-normalized),0.020201425648072244,0.0011595301660167075,0.5077504094940817
