percentile,n_select,random,top_u,middle_u,bottom_u,top_lift,middle_lift
10,254,0.48526522593320237,0.4645669291338583,0.51,0.452755905511811,-0.04265357518569289,0.05097165991902833
20,509,0.48526522593320237,0.4577603143418468,0.51,0.444007858546169,-0.05668016194331983,0.05097165991902833
30,763,0.48526522593320237,0.4836173001310616,0.51,0.46788990825688076,-0.0033959280699986374,0.05097165991902833
40,1018,0.48526522593320237,0.49901768172888017,0.51,0.48035363457760316,0.028340080971659916,0.05097165991902833
50,1272,0.48526522593320237,0.4921383647798742,0.51,0.47877358490566035,0.01416367478929542,0.05097165991902833
